EventID,IpAddress,IpPort,Log_source,LogonProcessName,LogonType,ProcessId,ProcessName,RestrictedAdminMode,TargetDomainName,TargetLogonID,TargetUserName,TimeCreated
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.354166 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.352418 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.351020 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.351018 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.299382 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.289462 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.166112 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.134515 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:36.096345 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.785296 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.760790 UTC
